"Allocation","Object/s (avg.)","Objects Created","Level"
"com.linecorp.armeria.common.StringMultimap$Entry","17777","160000","1"
"char[]","16819","151374","1"
"java.lang.String","13408","120678","1"
"io.netty.handler.codec.DefaultHeaders$HeaderEntry","11111","100000","1"
"java.util.concurrent.CompletableFuture","10000","90000","1"
"java.util.ArrayList$Itr","7782","70045","1"
"com.linecorp.armeria.common.HttpHeadersBase","5555","50000","1"
"java.lang.Object[]","4487","40390","1"
"io.netty.channel.DefaultChannelPromise","3333","30001","1"
"com.linecorp.armeria.common.stream.AbstractStreamMessage$SubscriptionImpl","3333","30000","1"
"com.linecorp.armeria.common.util.EventLoopCheckingFuture","3333","30000","1"
"io.netty.handler.codec.DefaultHeaders$HeaderEntry[]","3333","30000","1"
"io.netty.util.concurrent.DefaultFutureListeners","3333","30000","1"
"io.netty.util.concurrent.GenericFutureListener[]","3333","30000","1"
"java.util.concurrent.CompletableFuture$UniHandle","3333","30000","1"
"java.lang.StringBuilder","2258","20328","1"
"com.google.common.collect.Iterators$9","2222","20001","1"
"com.fasterxml.jackson.core.json.JsonWriteContext","2222","20000","1"
"com.linecorp.armeria.common.DefaultHttpHeadersBuilder","2222","20000","1"
"com.linecorp.armeria.common.DefaultResponseHeaders","2222","20000","1"
"com.linecorp.armeria.common.DefaultResponseHeadersBuilder","2222","20000","1"
"com.linecorp.armeria.common.logging.DefaultRequestLog$RequestLogFuture","2222","20000","1"
"com.linecorp.armeria.common.stream.SubscriptionOption[]","2222","20000","1"
"com.linecorp.armeria.server.HttpResponseSubscriber$WriteDataFutureListener","2222","20000","1"
"io.netty.handler.codec.DefaultHeaders$HeaderIterator","2222","20000","1"
"io.netty.handler.codec.DefaultHeaders$ValueIterator","2222","20000","1"
"io.netty.handler.codec.DefaultHeadersImpl","2222","20000","1"
"io.netty.handler.codec.http.DefaultHttpHeaders","2222","20000","1"
"java.util.LinkedList","2222","20000","1"
"java.util.concurrent.CompletableFuture$UniAccept","2222","20000","1"
"byte[]","1146","10320","1"
"java.util.ArrayList","1117","10059","1"
"java.lang.String[]","1116","10050","1"
"java.util.LinkedList$ListItr","1111","10001","1"
"com.fasterxml.jackson.core.io.IOContext","1111","10000","1"
"com.fasterxml.jackson.core.json.UTF8JsonGenerator","1111","10000","1"
"com.fasterxml.jackson.core.util.ByteArrayBuilder","1111","10000","1"
"com.fasterxml.jackson.databind.ser.DefaultSerializerProvider$Impl","1111","10000","1"
"com.google.common.collect.ImmutableMultimap$1","1111","10000","1"
