"Allocation","Object/s (avg.)","Objects Created","Level"
"io.netty.handler.codec.DefaultHeaders$HeaderEntry","15000","90000","1"
"char[]","13443","80663","1"
"java.lang.String","13382","80295","1"
"io.netty.handler.codec.DefaultHeaders$HeaderEntry[]","5000","30000","1"
"io.netty.handler.codec.DefaultHeadersImpl","5000","30000","1"
"io.netty.handler.codec.http.DefaultHttpHeaders","5000","30000","1"
"com.fasterxml.jackson.core.json.JsonWriteContext","3333","20000","1"
"java.util.LinkedList","3333","20000","1"
"byte[]","1725","10352","1"
"java.lang.String[]","1668","10009","1"
"com.fasterxml.jackson.core.io.IOContext","1666","10000","1"
"com.fasterxml.jackson.core.json.UTF8JsonGenerator","1666","10000","1"
"com.fasterxml.jackson.core.util.ByteArrayBuilder","1666","10000","1"
"com.fasterxml.jackson.databind.ser.DefaultSerializerProvider$Impl","1666","10000","1"
"example.armeria.server.techempower.models.Message","1666","10000","1"
"io.netty.buffer.UnpooledHeapByteBuf","1666","10000","1"
"io.netty.handler.codec.DefaultHeaders$HeaderIterator","1666","10000","1"
"io.netty.handler.codec.HeadersUtils$1","1666","10000","1"
"io.netty.handler.codec.http.DefaultFullHttpResponse","1666","10000","1"
"io.netty.handler.codec.http.DefaultHttpRequest","1666","10000","1"
"java.util.LinkedList$ListItr","1666","10000","1"
"java.util.HashMap$Node","97","586","1"
"java.lang.Object[]","34","209","1"
"java.lang.StringBuilder","28","169","1"
"java.util.HashMap$EntryIterator","28","168","1"
"java.util.HashMap$Node[]","25","150","1"
"java.util.HashMap$EntrySet","21","126","1"
"java.lang.Class$MethodArray","19","114","1"
"java.lang.reflect.Method[]","19","114","1"
"io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue","13","78","1"
"io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache","12","72","1"
"io.netty.util.Recycler$DefaultHandle","11","71","1"
"java.lang.Class[]","11","71","1"
"io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry","11","69","1"
"java.lang.Object","10","62","1"
"java.util.ArrayList","9","56","1"
"io.netty.channel.ChannelHandlerMask$2","7","44","1"
"java.lang.reflect.Method","7","44","1"
"java.util.ArrayList$Itr","7","44","1"
"java.lang.Long","7","43","1"
"java.util.LinkedHashMap","6","41","1"
"io.netty.buffer.PoolSubpage","4","29","1"
"java.net.InetAddress$InetAddressHolder","4","29","1"
"long[]","4","29","1"
"java.lang.ref.SoftReference","4","27","1"
"java.lang.reflect.Constructor","4","27","1"
"java.lang.Class$ReflectionData","4","26","1"
"sun.reflect.ByteVectorImpl","4","24","1"
"sun.reflect.ClassFileAssembler","4","24","1"
"java.lang.reflect.Proxy$Key1","3","21","1"
"java.util.LinkedHashMap$Entry","3","21","1"
"sun.reflect.annotation.AnnotationInvocationHandler","3","21","1"
"sun.reflect.annotation.AnnotationParser$1","3","21","1"
"sun.reflect.generics.factory.CoreReflectionFactory","3","21","1"
"sun.reflect.generics.parser.SignatureParser","3","21","1"
"sun.reflect.generics.scope.ClassScope","3","21","1"
"sun.reflect.generics.tree.ClassTypeSignature","3","21","1"
"sun.reflect.generics.tree.SimpleClassTypeSignature","3","21","1"
"sun.reflect.generics.tree.TypeArgument[]","3","21","1"
"sun.reflect.generics.visitor.Reifier","3","21","1"
"java.lang.reflect.Proxy$1","3","20","1"
"java.lang.reflect.WeakCache$CacheKey","3","20","1"
"java.nio.HeapByteBuffer","3","20","1"
"java.util.concurrent.ConcurrentHashMap$Node","3","20","1"
"java.lang.ref.Finalizer","3","19","1"
"io.netty.handler.codec.CodecOutputList","2","16","1"
"sun.reflect.Label$PatchInfo","2","15","1"
"java.lang.Class$AnnotationData","2","13","1"
"java.lang.Integer","2","13","1"
"java.lang.reflect.Field","2","12","1"
"java.util.TreeMap$Entry","2","12","1"
"java.util.Vector","2","12","1"
"java.net.InetSocketAddress","1","11","1"
"java.net.InetSocketAddress$InetSocketAddressHolder","1","11","1"
"sun.reflect.Label","1","11","1"
"java.util.HashMap","1","10","1"
"java.util.WeakHashMap$Entry","1","10","1"
"sun.nio.cs.UTF_8$Encoder","1","10","1"
"java.io.FileDescriptor","1","9","1"
"java.net.InetAddress","1","9","1"
"java.net.InetAddressContainer","1","9","1"
"java.net.Socket","1","9","1"
"java.net.Socket$2","1","9","1"
"java.net.Socket$3","1","9","1"
"java.net.SocketInputStream","1","9","1"
"java.net.SocketOutputStream","1","9","1"
"java.net.SocksSocketImpl","1","9","1"
"javax.management.ObjectName$Property[]","1","9","1"
"java.lang.reflect.Field[]","1","7","1"
"sun.reflect.DelegatingConstructorAccessorImpl","1","7","1"
"sun.reflect.NativeConstructorAccessorImpl","1","7","1"
"io.netty.buffer.PoolThreadCache$MemoryRegionCache[]","1","6","1"
"io.netty.buffer.PoolThreadCache$NormalMemoryRegionCache","1","6","1"
"java.lang.Class$1","1","6","1"
"java.lang.StringBuffer","1","6","1"
"java.security.CodeSource","1","6","1"
"java.security.Principal[]","1","6","1"
"java.security.ProtectionDomain","1","6","1"
"java.security.ProtectionDomain$Key","1","6","1"
"java.time.Instant","1","6","1"
"java.util.Hashtable","1","6","1"
"java.util.Hashtable$Entry[]","1","6","1"
"java.util.TreeMap$KeyIterator","1","6","1"
"short[]","1","6","1"
"sun.reflect.ClassDefiner$1","1","6","1"
"sun.reflect.DelegatingClassLoader","1","6","1"
"sun.reflect.MethodAccessorGenerator","1","6","1"
"sun.reflect.MethodAccessorGenerator$1","1","6","1"
"io.netty.channel.DefaultChannelHandlerContext","0","5","1"
"java.lang.ref.ReferenceQueue$Lock","0","5","1"
"io.netty.channel.$Proxy3","0","4","1"
"java.util.WeakHashMap$Entry[]","0","4","1"
"com.sun.management.VMOption","0","3","1"
"io.netty.util.Recycler$DefaultHandle[]","0","3","1"
"io.netty.util.Recycler$Stack","0","3","1"
"java.lang.ref.ReferenceQueue","0","3","1"
"java.lang.ref.WeakReference","0","3","1"
"java.time.Clock$SystemClock","0","3","1"
"java.time.LocalDate","0","3","1"
"java.time.LocalDateTime","0","3","1"
"java.time.LocalTime","0","3","1"
"java.time.ZoneOffset[]","0","3","1"
"java.time.ZonedDateTime","0","3","1"
"java.time.format.DateTimePrintContext","0","3","1"
"java.time.zone.ZoneRules","0","3","1"
"java.util.Collections$1","0","3","1"
"java.util.Collections$UnmodifiableCollection$1","0","3","1"
"java.util.IdentityHashMap","0","3","1"
"java.util.TreeMap","0","3","1"
"java.util.TreeMap$KeySet","0","3","1"
"java.util.WeakHashMap","0","3","1"
"java.util.concurrent.ConcurrentHashMap","0","3","1"
"java.util.concurrent.atomic.AtomicInteger","0","3","1"
"javax.management.ObjectName$Property","0","3","1"
"javax.management.openmbean.CompositeDataSupport","0","3","1"
"sun.management.Flag[]","0","3","1"
"io.netty.channel.AdaptiveRecvByteBufAllocator$HandleImpl","0","2","1"
"io.netty.channel.ChannelHandler[]","0","2","1"
"io.netty.channel.DefaultMaxMessagesRecvByteBufAllocator$MaxMessageHandle$1","0","2","1"
"io.netty.channel.VoidChannelPromise","0","2","1"
"java.net.Inet6Address","0","2","1"
"java.net.Inet6Address$Inet6AddressHolder","0","2","1"
"java.util.concurrent.atomic.AtomicReferenceArray","0","2","1"
"com.fasterxml.jackson.core.util.BufferRecycler","0","1","1"
"example.armeria.server.techempower.netty.HelloServerHandler","0","1","1"
"io.netty.bootstrap.ServerBootstrap$ServerBootstrapAcceptor$2","0","1","1"
"io.netty.buffer.PoolChunk","0","1","1"
"io.netty.buffer.PoolSubpage[]","0","1","1"
"io.netty.buffer.PoolThreadCache","0","1","1"
"io.netty.buffer.PooledUnsafeDirectByteBuf","0","1","1"
